"taxon","blank","all","must_have","kujawa"
"ABIES",,"FIR","OTHER.CONIFER","FIR"
"ACERX",,"MAPLE","MAPLE","MAPLE"
"ALNUSX",,"ALDER","OTHER.HARDWOOD","NA"
"AMBROSIA",,"AMBROSIA","NA","NA"
"ANACARDI",,"NA","NA","NA"
"APIACEAE",,"NA","NA","NA"
"AQUIFOLI",,"NA","NA","NA"
"ARCEUTHOBI",,"NA","NA","NA"
"ARECACEAE",,"NA","NA","NA"
"ARMERIA",,"NA","NA","NA"
"ARTEMISIA",,"ARTEMESIA","NA","NA"
"ASTERX",,"NA","NA","NA"
"BETULA",,"BIRCH","BIRCH","BIRCH"
"BORAGINACEAE",,"NA","NA","NA"
"BRASSICACEAE",,"NA","NA","NA"
"CACTACEAE",,"NA","NA","NA"
"CAMPANULACEA",,"NA","NA","NA"
"CAPRIFOLIA",,"NA","NA","NA"
"CARYA",,"HICKORY","OTHER.HARDWOOD","NA"
"CARYOPHYLL",,"NA","NA","NA"
"CASTANEA",,"OTHER.HARDWOOD","OTHER.HARDWOOD","NA"
"CHENOAMX",,"CHENO","NA","NA"
"CHRYSOLEP",,"NA","NA","NA"
"CORNUS",,"CORNUS","OTHER.HARDWOOD","NA"
"CORYLUS",,"NA","NA","NA"
"CUPRESSA",,"CEDAR.JUNIPER","OTHER.CONIFER","CEDAR.JUNIPER"
"CYPERACE",,"NA","NA","NA"
"DODECATH",,"NA","NA","NA"
"DRYAS",,"NA","NA","NA"
"ELAEAGNX",,"NA","NA","NA"
"EPHEDRA",,"NA","NA","NA"
"EQUISETU",,"NA","NA","NA"
"ERICACEX",,"NA","NA","NA"
"ERILEDCH",,"NA","NA","NA"
"EUPHORB",,"NA","NA","NA"
"FABACEAE",,"NA","NA","NA"
"FAGUS",,"BEECH","BEECH","BEECH"
"FRAXINUX",,"ASH","ASH","ASH"
"GLEDITSIA",,"OTHER.HARDWOOD","OTHER.HARDWOOD","NA"
"IVA",,"NA","NA","NA"
"JUGLANS",,"NA","NA","NA"
"JUGLANSX",,"WALNUT","OTHER.HARDWOOD","NA"
"LAMIACEAE",,"NA","NA","NA"
"LARIXPSEU",,"TAMARACK","TAMARACK","TAMARACK"
"LARREA",,"NA","NA","NA"
"LILIACEAE",,"NA","NA","NA"
"LIQUIDAM",,"BLACK.GUM.SWEET.GUM","OTHER.HARDWOOD","NA"
"LIRIODEN",,"POPLAR.TULIP.POPLAR","OTHER.HARDWOOD","POPLAR.TULIP.POPLAR"
"LYCOPODX",,"NA","NA","NA"
"MACLURA",,"OTHER.HARDWOOD","OTHER.HARDWOOD","NA"
"MAGNOLIACE",,"NA","NA","NA"
"MALVACEAE",,"NA","NA","NA"
"MORUS",,"OTHER.HARDWOOD","OTHER.HARDWOOD","NA"
"MYRICAX",,"NA","NA","NA"
"MYRICACX",,"NA","NA","NA"
"NYSSA",,"OTHER.HARDWOOD","OTHER.HARDWOOD","NA"
"ONAGRACEAE",,"NA","NA","NA"
"OSTRYCAR",,"IRONWOOD","OTHER.HARDWOOD","NA"
"Other",,"NA","NA","NA"
"OTHER.HW",,"OTHER.HARDWOOD","OTHER.HARDWOOD","NA"
"PICEAX",,"SPRUCE","SPRUCE","SPRUCE"
"PINUSX",,"PINE","PINE","PINE"
"PLANTAGINX",,"NA","NA","NA"
"PLATANUS",,"SYCAMORE","OTHER.HARDWOOD","NA"
"POACEAE",,"NA","NA","NA"
"POLEMONI",,"NA","NA","NA"
"POLYGONAX",,"NA","NA","NA"
"POLYPOD",,"NA","NA","NA"
"POPULUS",,"POPLAR.TULIP.POPLAR","OTHER.HARDWOOD","POPLAR.TULIP.POPLAR"
"PROSOPIS",,"NA","NA","NA"
"PTERIDIUM",,"NA","NA","NA"
"QUERCUS",,"OAK","OAK","OAK"
"RANUNCUL",,"NA","NA","NA"
"RHAMNACEAE",,"NA","NA","NA"
"ROBINIA",,"OTHER.HARDWOOD","OTHER.HARDWOOD","NA"
"ROSACEAX",,"NA","NA","NA"
"RUBIACEAE",,"NA","NA","NA"
"RUBUS",,"OTHER.HARDWOOD","OTHER.HARDWOOD","NA"
"RUMEOXYR",,"RUMEX","NA","NA"
"SALIX",,"WILLOW","OTHER.HARDWOOD","NA"
"SANGUI",,"NA","NA","NA"
"SARCOBATUS",,"NA","NA","NA"
"SCROPHUL",,"NA","NA","NA"
"SELAGINE",,"NA","NA","NA"
"SHEPHERDIA",,"NA","NA","NA"
"SPHAGNUM",,"NA","NA","NA"
"SXFRAGAX",,"NA","NA","NA"
"TAXODIUM",,"NA","NA","NA"
"TAXUS",,"NA","NA","NA"
"THALICTRUM",,"NA","NA","NA"
"TILIA",,"BASSWOOD","OTHER.HARDWOOD","BASSWOOD"
"TSUGAX",,"HEMLOCK","HEMLOCK","HEMLOCK"
"TSUGHETE",,"NA","NA","NA"
"TSUGMERT",,"NA","NA","NA"
"ULMUS",,"ELM","ELM","ELM"
"URTICACX",,"NA","NA","NA"
"XANTHIUM",,"NA","NA","NA"
"ZANTHOXYLUM",,"OTHER.HARDWOOD","OTHER.HARDWOOD","NA"
